index,red,green,blue
13,237,28,36
17,237,28,36
19,237,28,36
20,237,28,36
21,237,28,36
22,237,28,36
25,237,28,36
26,237,28,36
29,237,28,36
31,237,28,36
34,237,28,36
37,237,28,36
38,237,28,36
39,237,28,36
41,237,28,36
43,237,28,36
46,237,28,36
49,237,28,36
50,237,28,36
51,237,28,36
52,237,28,36
53,237,28,36
55,237,28,36
58,237,28,36
61,237,28,36
63,237,28,36
64,237,28,36
65,237,28,36
67,237,28,36
70,237,28,36
73,237,28,36
76,237,28,36
77,237,28,36
79,237,28,36
80,237,28,36
81,237,28,36
82,237,28,36
