index,red,green,blue
0,34,177,76
2,34,177,76
4,34,177,76
5,34,177,76
6,34,177,76
7,34,177,76
9,34,177,76
10,34,177,76
11,34,177,76
12,34,177,76
14,34,177,76
16,34,177,76
21,34,177,76
24,34,177,76
26,34,177,76
28,34,177,76
33,34,177,76
36,34,177,76
37,34,177,76
38,34,177,76
40,34,177,76
41,34,177,76
42,34,177,76
43,34,177,76
45,34,177,76
46,34,177,76
47,34,177,76
49,34,177,76
52,34,177,76
59,34,177,76
61,34,177,76
64,34,177,76
71,34,177,76
73,34,177,76
76,34,177,76
83,34,177,76
85,34,177,76
88,34,177,76
89,34,177,76
90,34,177,76
91,34,177,76
93,34,177,76
94,34,177,76
95,34,177,76
