index,red,green,blue
0,180,180,180
1,255,242,0
2,255,242,0
3,0,183,239
4,0,183,239
5,34,177,76
6,34,177,76
7,222,0,222
8,222,0,222
9,237,28,36
10,237,28,36
11,47,54,153
12,180,180,180
13,255,242,0
14,255,242,0
15,0,183,239
16,0,183,239
17,34,177,76
18,34,177,76
19,222,0,222
20,222,0,222
21,237,28,36
22,237,28,36
23,47,54,153
24,180,180,180
25,255,242,0
26,255,242,0
27,0,183,239
28,0,183,239
29,34,177,76
30,34,177,76
31,222,0,222
32,222,0,222
33,237,28,36
34,237,28,36
35,47,54,153
36,180,180,180
37,255,242,0
38,255,242,0
39,0,183,239
40,0,183,239
41,34,177,76
42,34,177,76
43,222,0,222
44,222,0,222
45,237,28,36
46,237,28,36
47,47,54,153
48,180,180,180
49,255,242,0
50,255,242,0
51,0,183,239
52,0,183,239
53,34,177,76
54,34,177,76
55,222,0,222
56,222,0,222
57,237,28,36
58,237,28,36
59,47,54,153
60,47,54,153
63,222,0,222
64,222,0,222
67,153,217,234
68,153,217,234
71,255,255,255
72,46,49,97
73,46,49,97
74,255,255,255
75,255,255,255
76,47,54,153
77,47,54,153
78,47,54,153
79,70,70,70
80,70,70,70
82,180,180,180
83,70,70,70
84,46,49,97
85,46,49,97
86,255,255,255
87,255,255,255
88,47,54,153
89,47,54,153
90,47,54,153
91,70,70,70
92,70,70,70
94,180,180,180
95,70,70,70
