index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,0,139,165
11,0,178,200
12,0,179,204
13,0,162,196
14,20,26,28
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,42,182,205
21,0,173,201
22,45,183,205
23,0,176,200
24,0,152,186
25,17,41,41
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,0,160,196
31,0,171,202
32,0,128,155
33,0,155,188
34,44,183,206
35,0,177,200
36,21,19,19
37,21,19,19
38,21,19,19
39,21,19,19
40,0,145,177
41,10,49,51
42,11,46,47
43,32,181,204
44,0,133,162
45,0,161,196
46,20,22,23
47,21,19,19
48,21,19,19
49,21,19,19
50,0,134,163
51,11,47,49
52,15,43,44
53,0,125,150
54,0,171,202
55,44,183,206
56,19,23,23
57,21,19,19
58,21,19,19
59,21,19,19
60,0,178,203
61,0,136,167
62,52,184,207
63,0,152,184
64,52,184,207
65,0,138,169
66,21,19,19
67,21,19,19
68,21,19,19
69,21,19,19
70,0,123,146
71,42,182,205
72,0,173,200
73,0,162,198
74,32,181,204
75,16,43,44
76,21,19,19
77,21,19,19
78,21,19,19
79,21,19,19
80,0,117,138
81,0,178,200
82,0,149,182
83,0,166,196
84,21,29,29
85,21,19,19
86,21,19,19
87,21,19,19
88,21,19,19
89,21,19,19
90,21,19,19
91,21,19,19
92,21,19,19
93,21,19,19
94,21,19,19
95,21,19,19
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
