index,red,green,blue
3,96,13,151
4,144,20,227
5,144,20,227
6,96,13,151
12,114,10,72
13,19,2,12
16,85,8,54
17,95,8,60
18,57,5,36
19,57,5,36
20,95,8,60
21,85,8,54
22,108,15,170
23,96,13,151
24,12,2,19
26,24,3,38
27,72,10,114
28,72,10,114
29,12,2,19
30,48,6,76
31,120,17,189
32,144,20,227
33,144,20,227
34,54,7,85
37,227,20,144
38,227,20,144
39,227,20,144
40,76,7,48
41,189,17,120
42,76,6,48
43,170,15,108
44,85,8,54
49,120,17,189
50,120,17,189
51,48,7,76
52,144,20,227
53,144,20,227
54,144,20,227
59,120,17,189
60,76,6,48
61,170,15,108
62,85,8,54
65,85,7,54
66,227,20,144
67,227,20,144
68,189,17,120
69,76,6,48
70,12,2,19
71,72,10,114
72,108,15,170
73,96,13,151
74,12,2,19
76,24,3,38
77,72,10,114
78,72,10,114
79,12,2,19
82,54,8,85
83,60,8,95
84,151,13,96
90,85,8,54
91,95,8,60
92,57,5,36
93,57,5,36
94,144,20,227
95,144,20,227
96,96,13,151
