index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,48,31,27
13,84,46,33
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,52,30,25
21,54,30,26
22,149,88,40
23,82,46,32
24,21,19,19
25,21,19,19
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,99,54,34
31,122,72,37
32,72,41,30
33,21,19,19
34,21,19,19
35,21,19,19
36,21,19,19
37,21,19,19
38,21,19,19
39,21,19,19
40,139,83,40
41,42,29,27
42,31,26,24
43,76,39,29
44,21,19,19
45,119,65,34
46,21,19,19
47,21,19,19
48,21,19,19
49,96,51,34
50,174,114,43
51,94,52,34
52,57,31,26
53,31,26,24
54,21,19,19
55,198,146,42
56,31,26,24
57,21,19,19
58,105,58,33
59,177,114,43
60,169,110,42
61,204,161,41
62,246,223,31
63,142,82,40
64,85,47,33
65,216,174,41
66,83,47,33
67,157,93,39
68,246,224,39
69,199,152,42
70,122,72,37
71,238,207,33
72,245,223,36
73,224,187,39
74,87,49,33
75,213,172,40
76,185,133,42
77,156,94,39
78,244,227,51
79,147,86,40
80,171,103,41
81,137,82,39
82,199,155,41
83,240,212,33
84,80,44,32
85,208,166,42
86,240,212,32
87,240,215,33
88,244,224,39
89,138,77,40
90,134,80,39
91,102,58,34
92,171,109,42
93,192,140,43
94,161,99,40
95,192,138,42
96,170,112,42
97,245,222,32
98,137,82,39
99,138,77,40
