index,red,green,blue
1,79,9,12
2,237,28,36
3,237,28,36
4,237,28,36
5,237,28,36
6,237,28,36
7,237,28,36
8,79,9,12
10,30,3,4
11,198,23,30
12,30,23,197
13,21,16,138
14,4,3,30
15,30,23,198
16,36,28,237
17,36,28,237
18,13,10,89
19,9,7,59
20,9,7,59
21,23,18,148
22,59,7,9
25,138,16,21
26,197,23,30
27,119,14,18
28,197,23,30
29,138,16,21
30,237,28,36
31,158,18,24
34,49,6,8
35,227,27,35
36,30,23,198
37,30,23,198
40,24,19,158
41,36,28,237
42,36,28,237
43,24,18,158
45,18,14,118
48,158,19,24
49,237,28,36
50,237,28,36
51,158,19,24
53,158,19,24
54,237,28,36
58,158,19,24
59,237,28,36
60,36,28,237
61,24,18,158
65,13,10,89
66,33,26,217
67,14,11,89
68,24,18,158
69,36,28,237
70,138,16,21
71,197,23,30
72,178,21,27
73,158,19,24
74,20,2,3
77,59,7,9
78,197,23,30
79,138,16,21
80,30,3,4
81,198,23,30
82,237,28,36
83,119,14,18
84,36,28,237
85,36,28,237
86,12,9,79
88,4,3,30
89,30,23,198
90,23,18,148
91,9,7,59
92,9,7,59
93,9,7,59
94,237,28,36
95,237,28,36
96,237,28,36
97,237,28,36
98,79,9,12
