index,red,green,blue
1,74,0,74
2,111,0,111
6,74,0,74
7,111,0,111
11,19,0,19
12,37,0,37
16,28,0,28
17,129,0,129
18,28,0,28
20,56,0,56
21,111,0,111
22,167,0,167
23,148,0,148
24,111,0,111
25,129,0,129
26,185,0,185
27,56,0,56
30,9,0,9
31,111,0,111
32,194,0,194
33,203,0,203
34,222,0,222
35,213,0,213
36,185,0,185
37,222,0,222
38,148,0,148
39,111,0,111
40,222,0,222
41,37,0,37
43,19,0,19
44,139,0,139
45,185,0,185
46,74,0,74
47,222,0,222
48,74,0,74
50,222,0,222
51,222,0,222
52,222,0,222
53,222,0,222
54,222,0,222
55,222,0,222
56,222,0,222
57,222,0,222
58,222,0,222
59,37,0,37
60,37,0,37
61,166,0,166
62,139,0,139
63,222,0,222
64,222,0,222
65,222,0,222
66,222,0,222
67,222,0,222
68,111,0,111
69,194,0,194
70,185,0,185
71,74,0,74
72,167,0,167
73,111,0,111
74,111,0,111
75,111,0,111
76,148,0,148
77,111,0,111
78,148,0,148
79,37,0,37
80,185,0,185
81,56,0,56
82,111,0,111
83,19,0,19
84,74,0,74
85,111,0,111
87,185,0,185
88,37,0,37
89,148,0,148
90,83,0,83
91,92,0,92
92,9,0,9
95,37,0,37
96,148,0,148
98,148,0,148
99,37,0,37
