index,red,green,blue
10,30,3,4
11,118,14,18
12,30,23,197
13,6,5,39
14,4,3,30
15,27,21,178
16,27,21,178
17,27,21,178
18,4,3,30
19,23,18,148
22,59,7,9
24,198,23,30
25,39,5,6
26,197,23,30
27,119,14,18
28,197,23,30
29,39,5,6
30,39,4,6
31,237,28,36
32,148,18,23
33,20,2,3
34,197,23,30
35,39,4,6
36,6,5,39
37,30,23,198
38,12,9,79
39,36,28,237
40,36,28,237
41,6,5,39
42,6,4,39
43,24,18,158
45,24,18,158
46,158,19,24
48,158,19,24
49,39,5,6
50,39,5,6
51,237,28,36
52,237,28,36
53,237,28,36
54,237,28,36
55,39,5,6
56,158,19,24
58,158,19,24
59,39,5,6
60,6,4,39
61,24,18,158
63,24,18,158
64,6,4,39
65,36,28,237
66,36,28,237
67,23,18,148
68,27,21,178
69,6,4,39
70,39,5,6
71,158,19,24
72,59,7,9
73,197,23,30
74,237,28,36
75,39,5,6
76,197,23,30
77,119,14,18
78,197,23,30
79,39,5,6
80,30,3,4
81,118,14,18
83,118,14,18
88,4,3,30
89,27,21,178
90,27,21,178
91,27,21,178
92,4,3,30
93,27,21,178
