index,red,green,blue
0,222,0,222
1,222,0,222
2,222,0,222
3,222,0,222
12,222,0,222
13,222,0,222
14,222,0,222
15,222,0,222
24,148,0,148
25,148,0,148
26,148,0,148
27,148,0,148
28,74,0,74
29,74,0,74
30,74,0,74
31,74,0,74
40,222,0,222
41,222,0,222
42,222,0,222
43,222,0,222
52,222,0,222
53,222,0,222
54,222,0,222
55,222,0,222
64,74,0,74
65,74,0,74
66,74,0,74
67,74,0,74
68,148,0,148
69,148,0,148
70,148,0,148
71,148,0,148
80,222,0,222
81,222,0,222
82,222,0,222
83,222,0,222
92,222,0,222
93,222,0,222
94,222,0,222
95,222,0,222
