index,red,green,blue
0,28,148,63
1,11,59,25
2,17,89,38
3,23,118,51
4,34,177,76
5,34,177,76
6,23,118,51
7,17,89,38
8,34,177,76
9,34,177,76
10,28,147,63
11,11,59,25
12,25,59,11
13,63,148,28
14,19,44,9
15,38,89,17
16,38,88,17
17,13,29,6
18,19,44,9
19,28,66,13
20,50,118,22
21,38,88,17
22,17,89,38
23,23,118,51
24,6,29,13
27,17,89,38
28,11,59,25
30,30,155,67
31,17,89,38
32,17,88,38
33,22,118,50
34,13,66,28
35,9,44,19
36,76,177,34
37,76,177,34
38,51,118,23
39,38,89,17
40,76,177,34
41,76,177,34
42,19,44,9
43,38,89,17
44,38,88,17
45,13,29,6
46,23,118,51
47,17,89,38
48,34,177,76
49,34,177,76
50,6,29,13
51,23,118,51
53,23,118,51
54,6,29,13
59,28,148,63
60,63,147,28
65,12,29,5
66,50,118,22
68,50,118,22
69,12,29,5
70,6,29,13
71,23,118,51
73,23,118,51
74,6,29,13
79,28,148,63
80,5,29,12
81,22,118,50
83,22,118,50
84,51,118,23
86,51,118,23
87,13,29,6
88,67,155,30
89,19,44,9
90,10,22,4
91,13,29,6
92,19,44,9
93,28,66,13
94,34,177,76
95,34,177,76
96,23,118,51
97,17,89,38
98,34,177,76
99,34,177,76
