index,red,green,blue
4,255,242,0
5,255,242,0
6,255,242,0
7,255,242,0
8,255,242,0
9,255,242,0
10,255,242,0
18,255,242,0
19,255,242,0
20,255,242,0
21,255,242,0
22,255,242,0
23,255,242,0
24,255,242,0
25,0,242,255
26,0,242,255
32,255,242,0
33,255,242,0
34,255,242,0
36,255,242,0
37,255,242,0
38,255,242,0
40,255,242,0
41,255,242,0
42,255,242,0
46,255,242,0
47,255,242,0
48,255,242,0
49,255,242,0
51,255,242,0
52,255,242,0
53,255,242,0
55,0,242,255
56,0,242,255
57,0,242,255
58,0,242,255
61,255,242,0
62,255,242,0
63,255,242,0
64,255,242,0
66,255,242,0
67,255,242,0
68,255,242,0
70,255,242,0
71,255,242,0
72,255,242,0
73,255,242,0
76,255,242,0
77,255,242,0
78,255,242,0
79,255,242,0
80,255,242,0
81,255,242,0
82,255,242,0
83,255,242,0
84,255,242,0
85,0,242,255
86,0,242,255
87,0,242,255
88,0,242,255
91,255,242,0
92,255,242,0
93,255,242,0
94,255,255,255
95,255,255,255
96,255,255,255
97,255,255,255
98,255,255,255
99,255,255,255
100,255,255,255
101,255,242,0
102,255,242,0
103,255,242,0
107,255,242,0
108,255,242,0
109,255,242,0
110,255,255,255
111,255,255,255
112,255,255,255
113,255,255,255
114,255,255,255
115,0,242,255
116,0,242,255
117,0,242,255
123,255,242,0
124,255,242,0
125,255,242,0
126,255,255,255
127,255,255,255
128,255,255,255
129,255,242,0
130,255,242,0
131,255,242,0
139,255,242,0
140,255,242,0
141,255,242,0
142,255,242,0
143,255,242,0
144,255,242,0
145,0,242,255
