index,red,green,blue
0,192,190,150
1,255,242,0
2,128,213,120
3,0,183,239
4,28,178,103
5,65,148,100
6,222,0,222
7,230,14,129
8,237,28,36
9,79,50,134
10,192,190,150
11,255,242,0
12,0,242,255
13,150,190,192
14,133,49,78
15,36,28,237
16,129,14,229
17,222,0,222
18,100,147,65
19,103,178,28
20,239,183,0
21,119,212,127
22,128,213,120
23,0,183,239
24,28,178,103
25,65,148,100
26,222,0,222
27,230,14,129
28,237,28,36
29,79,50,134
30,192,190,150
31,255,242,0
32,127,212,119
33,0,183,239
34,28,178,103
35,65,147,100
36,100,148,65
37,103,178,28
38,239,183,0
39,120,213,128
40,0,242,255
41,150,190,192
42,133,49,78
43,36,28,237
44,129,14,229
45,222,0,222
46,222,0,222
47,230,14,129
48,237,28,36
49,79,50,134
50,192,190,150
51,255,242,0
52,128,213,120
53,0,183,239
54,28,178,103
55,65,148,100
56,222,0,222
57,230,14,129
58,237,28,36
59,79,50,134
60,193,172,179
61,9,7,59
62,120,85,115
63,231,163,170
64,54,64,35
65,53,44,35
66,226,46,167
67,113,53,115
68,0,61,64
69,133,81,77
70,43,47,112
71,58,59,75
72,183,128,183
73,169,61,205
74,42,27,95
75,38,46,89
76,112,144,152
77,56,72,76
78,60,60,60
79,150,150,150
80,46,49,97
81,116,118,150
82,255,255,255
83,116,121,187
84,187,121,116
85,255,255,255
86,150,118,116
87,97,49,46
88,88,88,88
89,120,120,120
90,35,35,35
91,70,70,70
92,139,56,51
93,153,54,47
94,47,54,153
95,51,57,139
96,70,70,70
97,35,35,35
98,120,120,120
99,88,88,88
