index,red,green,blue
0,198,23,30
3,158,19,24
4,39,5,6
5,39,5,6
6,158,19,24
9,198,23,30
10,79,9,12
11,118,14,18
12,18,14,118
13,3,2,20
14,12,9,79
15,18,14,118
16,14,11,89
17,15,12,99
18,1,1,10
19,1,1,10
20,15,12,99
21,14,11,89
22,119,14,18
23,40,5,6
26,40,5,6
27,119,14,18
28,118,14,18
29,20,2,3
30,10,1,1
31,99,12,15
32,118,14,18
33,20,2,3
38,12,9,79
39,18,14,119
40,24,19,158
41,6,5,39
42,1,1,10
43,15,12,99
44,18,14,118
45,3,2,20
46,79,9,12
47,119,14,18
48,158,19,24
49,39,5,6
50,198,23,30
53,158,19,24
54,39,5,6
55,39,5,6
56,158,19,24
59,198,23,30
60,8,6,49
63,6,5,39
64,1,1,10
65,1,1,10
66,6,5,39
69,8,6,49
73,79,9,12
74,119,14,18
75,119,14,18
76,79,9,12
82,30,4,5
83,138,16,21
84,12,9,79
85,18,14,119
90,5,4,30
91,21,16,138
92,27,21,178
93,27,21,178
96,79,9,12
97,119,14,18
